taker_id,group_id
193,39
194,39
195,39
196,39
197,39
198,39
199,39
210,39
227,40
228,40
229,40
231,40
235,39
243,40
244,40
245,40
246,40
242,40
247,40
253,40
255,40
256,40
257,40
258,40
265,39
266,39
280,40
281,40
282,40
283,40
284,40
301,40
302,40
303,40
307,39
308,39
309,39
310,39
311,39
313,40
314,41
315,41
316,41
317,41
318,41
319,41
320,41
321,41
322,41
323,41
324,41
325,41
326,41
327,41
328,41
329,41
330,41
331,41
332,41
333,41
334,41
335,41
336,41
337,41
338,41
339,41
340,41
341,41
342,41
343,41
344,41
345,41
346,41
347,41
348,41
349,41
350,41
351,41
352,41
353,41
354,41
355,41
356,41
357,41
358,41
359,41
360,41
361,41
362,41
363,41
364,41
365,41
366,41
367,41
368,41
369,41
370,41
371,41
372,41
373,41
374,41
375,41
376,41
377,41
378,41
379,41
380,41
381,41
382,41
383,41
384,41
385,41
386,41
387,41
388,41
389,41
390,41
391,41
392,41
393,41
394,41
395,41
396,41
397,41
398,41
399,41
400,41
401,41
402,41
403,41
404,41
405,41
406,41
407,41
408,41
409,41
410,41
411,41
412,41
413,44
414,44
415,44
416,44
417,44
418,44
279,44
278,44
277,44
276,44
419,44
420,45
422,46
423,46
424,46
425,46
426,46
427,46
428,46
429,46
430,46
431,46
432,46
433,46
434,46
435,46
436,46
437,46
438,46
439,46
440,46
441,46
442,46
443,46
444,46
445,46
446,46
447,46
448,46
449,46
450,46
451,46
452,46
453,46
454,46
455,46
456,46
457,46
458,46
459,46
460,46
461,46
261,46
262,46
263,46
264,46
413,46
277,46
415,46
417,46
278,46
279,46
418,46
419,46
276,46
416,46
244,46
267,46
268,46
269,46
270,46
271,46
272,46
273,46
274,46
275,46
285,46
286,46
287,46
288,46
289,46
290,46
291,46
292,46
294,46
295,46
296,46
293,46
297,46
298,46
299,46
300,46
304,46
305,46
306,46
259,46
310,46
462,47
297,48
298,48
299,48
300,48
456,48
457,48
458,48
268,51
267,51
269,51
270,51
271,51
272,51
273,51
274,51
275,51
261,51
262,51
263,51
264,51
413,50
442,50
285,50
277,40
297,50
304,50
415,50
443,50
287,50
417,50
444,50
286,50
278,50
445,50
298,50
279,50
299,50
305,50
418,50
300,50
419,50
306,50
290,51
295,51
296,51
294,51
292,51
310,51
291,51
289,51
277,50
422,52
423,52
424,52
425,52
426,52
427,52
428,52
429,52
430,52
431,52
432,52
433,52
434,52
435,52
464,52
276,52
416,52
414,52
436,52
437,52
462,52
465,52
439,52
438,52
466,52
467,52
268,52
440,52
441,52
468,52
469,52
470,52
471,52
472,52
473,52
474,52
475,52
476,52
477,52
478,52
479,52
480,52
481,52
482,52
483,52
484,52
288,52
447,52
485,52
486,52
487,52
488,52
489,52
450,52
451,52
454,52
455,52
293,52
490,52
491,52
492,52
493,52
494,52
495,52
496,52
456,52
457,52
458,52
497,52
498,52
499,52
259,52
459,52
500,52
501,52
502,52
503,52
504,52
505,52
506,52
507,52
508,52
509,52
510,52
453,52
276,53
436,53
416,53
462,53
437,53
439,53
414,53
465,53
479,53
480,53
481,53
482,53
483,53
484,53
288,53
447,53
458,53
457,53
456,53
459,53
501,53
259,53
460,53
424,55
427,55
450,55
455,55
425,55
426,55
428,55
422,55
293,55
454,55
429,55
451,55
441,55
268,55
506,55
423,55
430,55
468,55
440,55
431,55
432,55
453,55
469,55
433,55
434,55
435,55
511,56
512,56
513,56
514,56
515,56
516,56
268,57
470,57
464,56
471,57
472,57
473,57
474,57
475,57
476,57
477,57
478,57
517,57
518,57
519,57
520,57
521,57
522,59
523,59
524,59
525,59
526,59
527,59
485,60
489,60
488,60
486,60
528,60
529,60
531,60
532,60
490,61
494,61
495,61
493,61
492,61
491,61
536,61
537,61
538,61
467,58
539,58
540,58
466,58
